timestamp,container,cpu_pct,mem_usage,mem_pct
1774951102,ads_orm_api,1.79%,20.72MiB / 13.58GiB,0.15%
1774951102,ads_postgres,1.04%,75.95MiB / 13.58GiB,0.55%
1774951106,ads_orm_api,1.25%,22.46MiB / 13.58GiB,0.16%
1774951106,ads_postgres,0.37%,76.16MiB / 13.58GiB,0.55%
1774951110,ads_orm_api,0.83%,21.72MiB / 13.58GiB,0.16%
1774951110,ads_postgres,0.70%,76.44MiB / 13.58GiB,0.55%
1774951114,ads_orm_api,0.94%,21.01MiB / 13.58GiB,0.15%
1774951114,ads_postgres,0.33%,73.9MiB / 13.58GiB,0.53%
1774951118,ads_orm_api,0.83%,21.73MiB / 13.58GiB,0.16%
1774951118,ads_postgres,1.74%,74.05MiB / 13.58GiB,0.53%
1774951122,ads_orm_api,1.46%,21.93MiB / 13.58GiB,0.16%
1774951122,ads_postgres,0.44%,74.11MiB / 13.58GiB,0.53%
1774951126,ads_orm_api,1.12%,23.26MiB / 13.58GiB,0.17%
1774951126,ads_postgres,0.40%,73.89MiB / 13.58GiB,0.53%
1774951130,ads_orm_api,0.92%,21.57MiB / 13.58GiB,0.16%
1774951130,ads_postgres,0.28%,73.89MiB / 13.58GiB,0.53%
1774951134,ads_orm_api,0.88%,22.28MiB / 13.58GiB,0.16%
1774951134,ads_postgres,0.34%,74.05MiB / 13.58GiB,0.53%
1774951138,ads_orm_api,0.92%,22.23MiB / 13.58GiB,0.16%
1774951138,ads_postgres,1.72%,74.15MiB / 13.58GiB,0.53%
1774951142,ads_orm_api,0.83%,22.79MiB / 13.58GiB,0.16%
1774951142,ads_postgres,0.30%,74.05MiB / 13.58GiB,0.53%
1774951146,ads_orm_api,1.08%,23.17MiB / 13.58GiB,0.17%
1774951146,ads_postgres,0.79%,73.89MiB / 13.58GiB,0.53%
1774951150,ads_orm_api,1.36%,22.74MiB / 13.58GiB,0.16%
1774951151,ads_postgres,0.35%,73.89MiB / 13.58GiB,0.53%
1774951155,ads_orm_api,0.93%,23.16MiB / 13.58GiB,0.17%
1774951155,ads_postgres,0.30%,73.89MiB / 13.58GiB,0.53%
1774951159,ads_orm_api,1.28%,23.21MiB / 13.58GiB,0.17%
1774951159,ads_postgres,1.92%,74.09MiB / 13.58GiB,0.53%
1774951163,ads_orm_api,0.03%,22.85MiB / 13.58GiB,0.16%
1774951163,ads_postgres,0.02%,73.89MiB / 13.58GiB,0.53%
1774951167,ads_orm_api,0.00%,22.85MiB / 13.58GiB,0.16%
1774951167,ads_postgres,0.02%,73.89MiB / 13.58GiB,0.53%
