timestamp,container,cpu_pct,mem_usage,mem_pct
1774951023,ads_sql_api,1.59%,20.62MiB / 13.58GiB,0.15%
1774951023,ads_postgres,1.58%,75.43MiB / 13.58GiB,0.54%
1774951027,ads_sql_api,0.37%,19.77MiB / 13.58GiB,0.14%
1774951027,ads_postgres,1.90%,75.88MiB / 13.58GiB,0.55%
1774951031,ads_sql_api,0.37%,19.66MiB / 13.58GiB,0.14%
1774951031,ads_postgres,0.35%,75.47MiB / 13.58GiB,0.54%
1774951035,ads_sql_api,0.96%,19.56MiB / 13.58GiB,0.14%
1774951035,ads_postgres,0.37%,75.46MiB / 13.58GiB,0.54%
1774951039,ads_sql_api,0.48%,19.67MiB / 13.58GiB,0.14%
1774951039,ads_postgres,0.31%,75.72MiB / 13.58GiB,0.54%
1774951043,ads_sql_api,0.45%,20.27MiB / 13.58GiB,0.15%
1774951043,ads_postgres,0.35%,75.47MiB / 13.58GiB,0.54%
1774951047,ads_sql_api,0.33%,21.22MiB / 13.58GiB,0.15%
1774951047,ads_postgres,2.16%,75.58MiB / 13.58GiB,0.54%
1774951051,ads_sql_api,0.44%,20.87MiB / 13.58GiB,0.15%
1774951051,ads_postgres,1.02%,75.82MiB / 13.58GiB,0.55%
1774951055,ads_sql_api,0.33%,20.45MiB / 13.58GiB,0.15%
1774951055,ads_postgres,0.29%,75.48MiB / 13.58GiB,0.54%
1774951059,ads_sql_api,0.45%,21.01MiB / 13.58GiB,0.15%
1774951059,ads_postgres,0.39%,75.49MiB / 13.58GiB,0.54%
1774951063,ads_sql_api,0.32%,20.76MiB / 13.58GiB,0.15%
1774951063,ads_postgres,0.28%,75.89MiB / 13.58GiB,0.55%
1774951067,ads_sql_api,0.38%,21.46MiB / 13.58GiB,0.15%
1774951067,ads_postgres,1.86%,75.69MiB / 13.58GiB,0.54%
1774951071,ads_sql_api,0.34%,21.13MiB / 13.58GiB,0.15%
1774951071,ads_postgres,0.31%,75.48MiB / 13.58GiB,0.54%
1774951075,ads_sql_api,0.41%,21.09MiB / 13.58GiB,0.15%
1774951075,ads_postgres,0.42%,75.48MiB / 13.58GiB,0.54%
1774951079,ads_sql_api,0.46%,21MiB / 13.58GiB,0.15%
1774951079,ads_postgres,0.30%,75.5MiB / 13.58GiB,0.54%
1774951083,ads_sql_api,0.02%,21.28MiB / 13.58GiB,0.15%
1774951083,ads_postgres,0.00%,75.49MiB / 13.58GiB,0.54%
1774951087,ads_sql_api,0.01%,21.28MiB / 13.58GiB,0.15%
1774951087,ads_postgres,1.39%,75.86MiB / 13.58GiB,0.55%
