timestamp,container,cpu_pct,mem_usage,mem_pct
1774951457,ads_orm_api,5.28%,24.49MiB / 13.58GiB,0.18%
1774951457,ads_postgres,3.19%,90.81MiB / 13.58GiB,0.65%
1774951461,ads_orm_api,20.44%,27.9MiB / 13.58GiB,0.20%
1774951461,ads_postgres,6.02%,88.96MiB / 13.58GiB,0.64%
1774951465,ads_orm_api,37.25%,35.24MiB / 13.58GiB,0.25%
1774951465,ads_postgres,10.55%,89.24MiB / 13.58GiB,0.64%
1774951469,ads_orm_api,44.65%,41.73MiB / 13.58GiB,0.30%
1774951469,ads_postgres,10.27%,87.36MiB / 13.58GiB,0.63%
1774951473,ads_orm_api,46.42%,56.97MiB / 13.58GiB,0.41%
1774951473,ads_postgres,13.58%,89.45MiB / 13.58GiB,0.64%
1774951477,ads_orm_api,59.40%,60.75MiB / 13.58GiB,0.44%
1774951477,ads_postgres,26.06%,100.2MiB / 13.58GiB,0.72%
1774951481,ads_orm_api,60.36%,62.12MiB / 13.58GiB,0.45%
1774951481,ads_postgres,20.91%,100.8MiB / 13.58GiB,0.72%
1774951485,ads_orm_api,78.95%,61.81MiB / 13.58GiB,0.44%
1774951485,ads_postgres,24.02%,101MiB / 13.58GiB,0.73%
1774951489,ads_orm_api,81.91%,62.16MiB / 13.58GiB,0.45%
1774951489,ads_postgres,27.96%,101.3MiB / 13.58GiB,0.73%
1774951493,ads_orm_api,74.18%,61.43MiB / 13.58GiB,0.44%
1774951494,ads_postgres,24.74%,101.3MiB / 13.58GiB,0.73%
1774951498,ads_orm_api,78.24%,62.17MiB / 13.58GiB,0.45%
1774951498,ads_postgres,28.45%,101.8MiB / 13.58GiB,0.73%
1774951502,ads_orm_api,81.00%,62.66MiB / 13.58GiB,0.45%
1774951502,ads_postgres,24.45%,102MiB / 13.58GiB,0.73%
1774951506,ads_orm_api,78.70%,62.7MiB / 13.58GiB,0.45%
1774951506,ads_postgres,26.42%,102MiB / 13.58GiB,0.73%
1774951510,ads_orm_api,81.71%,62.79MiB / 13.58GiB,0.45%
1774951510,ads_postgres,25.13%,102.1MiB / 13.58GiB,0.73%
1774951514,ads_orm_api,79.44%,62.41MiB / 13.58GiB,0.45%
1774951514,ads_postgres,31.67%,102.2MiB / 13.58GiB,0.74%
1774951518,ads_orm_api,80.35%,62.68MiB / 13.58GiB,0.45%
1774951518,ads_postgres,34.93%,102.1MiB / 13.58GiB,0.73%
1774951522,ads_orm_api,78.42%,62.94MiB / 13.58GiB,0.45%
1774951522,ads_postgres,35.26%,106.5MiB / 13.58GiB,0.77%
1774951526,ads_orm_api,73.45%,62.59MiB / 13.58GiB,0.45%
1774951526,ads_postgres,31.22%,107.2MiB / 13.58GiB,0.77%
1774951530,ads_orm_api,74.74%,63.26MiB / 13.58GiB,0.45%
1774951530,ads_postgres,34.44%,107.4MiB / 13.58GiB,0.77%
1774951534,ads_orm_api,80.57%,62.44MiB / 13.58GiB,0.45%
1774951534,ads_postgres,47.70%,107.5MiB / 13.58GiB,0.77%
1774951538,ads_orm_api,72.81%,62.79MiB / 13.58GiB,0.45%
1774951538,ads_postgres,31.72%,107.4MiB / 13.58GiB,0.77%
1774951542,ads_orm_api,72.97%,63.5MiB / 13.58GiB,0.46%
1774951542,ads_postgres,31.83%,107.3MiB / 13.58GiB,0.77%
1774951546,ads_orm_api,73.49%,62.59MiB / 13.58GiB,0.45%
1774951546,ads_postgres,34.23%,107.7MiB / 13.58GiB,0.77%
1774951550,ads_orm_api,73.55%,62.08MiB / 13.58GiB,0.45%
1774951550,ads_postgres,36.79%,108.3MiB / 13.58GiB,0.78%
1774951554,ads_orm_api,68.53%,62.92MiB / 13.58GiB,0.45%
1774951554,ads_postgres,33.89%,107.8MiB / 13.58GiB,0.78%
1774951558,ads_orm_api,69.84%,62.65MiB / 13.58GiB,0.45%
