timestamp,container,cpu_pct,mem_usage,mem_pct
1774951198,ads_sql_api,3.36%,21.61MiB / 13.58GiB,0.16%
1774951198,ads_postgres,1.67%,76.03MiB / 13.58GiB,0.55%
1774951202,ads_sql_api,9.68%,24.61MiB / 13.58GiB,0.18%
1774951202,ads_postgres,5.24%,80.37MiB / 13.58GiB,0.58%
1774951206,ads_sql_api,13.28%,32.54MiB / 13.58GiB,0.23%
1774951206,ads_postgres,7.96%,80.21MiB / 13.58GiB,0.58%
1774951210,ads_sql_api,17.75%,36.88MiB / 13.58GiB,0.27%
1774951210,ads_postgres,13.33%,82.89MiB / 13.58GiB,0.60%
1774951214,ads_sql_api,19.62%,47.24MiB / 13.58GiB,0.34%
1774951214,ads_postgres,17.87%,82.54MiB / 13.58GiB,0.59%
1774951218,ads_sql_api,22.29%,55.18MiB / 13.58GiB,0.40%
1774951218,ads_postgres,23.53%,85.1MiB / 13.58GiB,0.61%
1774951222,ads_sql_api,32.05%,56.36MiB / 13.58GiB,0.41%
1774951222,ads_postgres,35.99%,90.96MiB / 13.58GiB,0.65%
1774951226,ads_sql_api,39.75%,55.99MiB / 13.58GiB,0.40%
1774951226,ads_postgres,35.38%,90.68MiB / 13.58GiB,0.65%
1774951230,ads_sql_api,37.96%,56.34MiB / 13.58GiB,0.41%
1774951230,ads_postgres,42.11%,91.65MiB / 13.58GiB,0.66%
1774951234,ads_sql_api,32.91%,56.65MiB / 13.58GiB,0.41%
1774951234,ads_postgres,37.90%,91.45MiB / 13.58GiB,0.66%
1774951238,ads_sql_api,35.15%,56.86MiB / 13.58GiB,0.41%
1774951238,ads_postgres,41.11%,95.28MiB / 13.58GiB,0.69%
1774951242,ads_sql_api,46.16%,57MiB / 13.58GiB,0.41%
1774951242,ads_postgres,42.18%,114MiB / 13.58GiB,0.82%
1774951246,ads_sql_api,29.51%,57.18MiB / 13.58GiB,0.41%
1774951246,ads_postgres,37.27%,116.4MiB / 13.58GiB,0.84%
1774951250,ads_sql_api,33.91%,57.56MiB / 13.58GiB,0.41%
1774951250,ads_postgres,25.34%,116.5MiB / 13.58GiB,0.84%
1774951254,ads_sql_api,30.79%,56.87MiB / 13.58GiB,0.41%
1774951254,ads_postgres,21.91%,116.4MiB / 13.58GiB,0.84%
1774951258,ads_sql_api,33.28%,57.57MiB / 13.58GiB,0.41%
1774951258,ads_postgres,23.07%,116.9MiB / 13.58GiB,0.84%
1774951262,ads_sql_api,35.16%,57.24MiB / 13.58GiB,0.41%
1774951262,ads_postgres,23.49%,116.8MiB / 13.58GiB,0.84%
1774951266,ads_sql_api,28.89%,56.45MiB / 13.58GiB,0.41%
1774951266,ads_postgres,19.17%,116.8MiB / 13.58GiB,0.84%
1774951270,ads_sql_api,41.25%,57.47MiB / 13.58GiB,0.41%
1774951270,ads_postgres,30.24%,116.6MiB / 13.58GiB,0.84%
1774951274,ads_sql_api,36.24%,57.73MiB / 13.58GiB,0.42%
