timestamp,container,cpu_pct,mem_usage,mem_pct
1774952142,ads_orm_api,2.46%,22.52MiB / 13.58GiB,0.16%
1774952142,ads_postgres,27.45%,160.9MiB / 13.58GiB,1.16%
1774952146,ads_orm_api,30.13%,28.58MiB / 13.58GiB,0.21%
1774952146,ads_postgres,44.60%,143.5MiB / 13.58GiB,1.03%
1774952149,ads_orm_api,39.56%,38.31MiB / 13.58GiB,0.28%
1774952149,ads_postgres,145.88%,127.7MiB / 13.58GiB,0.92%
1774952153,ads_orm_api,72.49%,44.5MiB / 13.58GiB,0.32%
1774952153,ads_postgres,165.48%,117.6MiB / 13.58GiB,0.85%
1774952157,ads_orm_api,72.53%,59.97MiB / 13.58GiB,0.43%
1774952157,ads_postgres,224.15%,119MiB / 13.58GiB,0.86%
1774952161,ads_orm_api,99.98%,62.91MiB / 13.58GiB,0.45%
1774952162,ads_postgres,308.13%,119.8MiB / 13.58GiB,0.86%
1774952166,ads_orm_api,138.81%,62.51MiB / 13.58GiB,0.45%
1774952166,ads_postgres,429.92%,119.5MiB / 13.58GiB,0.86%
1774952171,ads_orm_api,176.94%,63.29MiB / 13.58GiB,0.46%
1774952171,ads_postgres,607.18%,121.1MiB / 13.58GiB,0.87%
1774952175,ads_orm_api,188.13%,64.43MiB / 13.58GiB,0.46%
1774952175,ads_postgres,684.23%,122.1MiB / 13.58GiB,0.88%
1774952179,ads_orm_api,198.57%,65.37MiB / 13.58GiB,0.47%
1774952179,ads_postgres,724.98%,122.3MiB / 13.58GiB,0.88%
1774952183,ads_orm_api,191.20%,64.16MiB / 13.58GiB,0.46%
1774952183,ads_postgres,785.65%,121.5MiB / 13.58GiB,0.87%
1774952187,ads_orm_api,209.95%,64.09MiB / 13.58GiB,0.46%
1774952187,ads_postgres,774.84%,121.6MiB / 13.58GiB,0.87%
1774952191,ads_orm_api,196.69%,66.08MiB / 13.58GiB,0.48%
1774952191,ads_postgres,870.11%,121.5MiB / 13.58GiB,0.87%
1774952195,ads_orm_api,214.72%,67.03MiB / 13.58GiB,0.48%
1774952195,ads_postgres,803.80%,122.6MiB / 13.58GiB,0.88%
1774952200,ads_orm_api,199.61%,67.05MiB / 13.58GiB,0.48%
1774952200,ads_postgres,852.15%,122.8MiB / 13.58GiB,0.88%
1774952205,ads_orm_api,233.97%,68.04MiB / 13.58GiB,0.49%
1774952205,ads_postgres,784.45%,121.8MiB / 13.58GiB,0.88%
1774952210,ads_orm_api,228.10%,71.83MiB / 13.58GiB,0.52%
1774952210,ads_postgres,838.57%,121.1MiB / 13.58GiB,0.87%
1774952215,ads_orm_api,235.85%,68.21MiB / 13.58GiB,0.49%
1774952215,ads_postgres,827.00%,122.4MiB / 13.58GiB,0.88%
1774952220,ads_orm_api,227.03%,67.45MiB / 13.58GiB,0.49%
1774952220,ads_postgres,794.14%,122.7MiB / 13.58GiB,0.88%
1774952225,ads_orm_api,240.08%,68.25MiB / 13.58GiB,0.49%
1774952225,ads_postgres,737.59%,121.1MiB / 13.58GiB,0.87%
1774952230,ads_orm_api,216.90%,69.57MiB / 13.58GiB,0.50%
1774952230,ads_postgres,786.50%,122.4MiB / 13.58GiB,0.88%
1774952235,ads_orm_api,205.56%,67.75MiB / 13.58GiB,0.49%
1774952235,ads_postgres,818.15%,121.9MiB / 13.58GiB,0.88%
1774952240,ads_orm_api,205.27%,67.93MiB / 13.58GiB,0.49%
1774952240,ads_postgres,903.74%,122.2MiB / 13.58GiB,0.88%
1774952245,ads_orm_api,227.27%,77.21MiB / 13.58GiB,0.56%
1774952245,ads_postgres,804.87%,122.4MiB / 13.58GiB,0.88%
1774952250,ads_orm_api,202.37%,68.22MiB / 13.58GiB,0.49%
1774952250,ads_postgres,815.42%,122.6MiB / 13.58GiB,0.88%
1774952255,ads_orm_api,202.56%,68.02MiB / 13.58GiB,0.49%
1774952255,ads_postgres,855.37%,120.9MiB / 13.58GiB,0.87%
1774952260,ads_orm_api,282.72%,68.56MiB / 13.58GiB,0.49%
1774952260,ads_postgres,794.52%,122.2MiB / 13.58GiB,0.88%
1774952265,ads_orm_api,183.15%,70.34MiB / 13.58GiB,0.51%
1774952265,ads_postgres,889.60%,122.4MiB / 13.58GiB,0.88%
1774952270,ads_orm_api,197.47%,69.59MiB / 13.58GiB,0.50%
1774952270,ads_postgres,833.55%,121.2MiB / 13.58GiB,0.87%
1774952275,ads_orm_api,215.94%,69.44MiB / 13.58GiB,0.50%
1774952275,ads_postgres,797.51%,121MiB / 13.58GiB,0.87%
1774952280,ads_orm_api,164.74%,69.87MiB / 13.58GiB,0.50%
1774952280,ads_postgres,895.11%,121.6MiB / 13.58GiB,0.87%
1774952285,ads_orm_api,241.27%,72.27MiB / 13.58GiB,0.52%
1774952285,ads_postgres,716.98%,121.7MiB / 13.58GiB,0.88%
1774952290,ads_orm_api,182.62%,70.01MiB / 13.58GiB,0.50%
1774952290,ads_postgres,848.00%,122.3MiB / 13.58GiB,0.88%
1774952295,ads_orm_api,177.38%,68.43MiB / 13.58GiB,0.49%
1774952295,ads_postgres,871.19%,122MiB / 13.58GiB,0.88%
1774952300,ads_orm_api,233.14%,69.16MiB / 13.58GiB,0.50%
1774952300,ads_postgres,821.38%,122MiB / 13.58GiB,0.88%
1774952305,ads_orm_api,198.36%,69.83MiB / 13.58GiB,0.50%
1774952305,ads_postgres,839.11%,121.2MiB / 13.58GiB,0.87%
1774952310,ads_orm_api,241.93%,68.02MiB / 13.58GiB,0.49%
1774952310,ads_postgres,840.80%,122.8MiB / 13.58GiB,0.88%
1774952315,ads_orm_api,198.57%,77.87MiB / 13.58GiB,0.56%
1774952315,ads_postgres,838.60%,121.5MiB / 13.58GiB,0.87%
1774952320,ads_orm_api,188.13%,77.93MiB / 13.58GiB,0.56%
1774952320,ads_postgres,837.19%,121.6MiB / 13.58GiB,0.87%
1774952325,ads_orm_api,200.42%,71.94MiB / 13.58GiB,0.52%
1774952325,ads_postgres,847.20%,122MiB / 13.58GiB,0.88%
1774952330,ads_orm_api,199.16%,69.64MiB / 13.58GiB,0.50%
1774952330,ads_postgres,888.92%,122.2MiB / 13.58GiB,0.88%
1774952335,ads_orm_api,192.08%,76.12MiB / 13.58GiB,0.55%
1774952335,ads_postgres,788.80%,122MiB / 13.58GiB,0.88%
1774952340,ads_orm_api,193.83%,70.27MiB / 13.58GiB,0.51%
1774952340,ads_postgres,769.77%,121.9MiB / 13.58GiB,0.88%
1774952345,ads_orm_api,254.04%,70.84MiB / 13.58GiB,0.51%
1774952345,ads_postgres,769.64%,122.7MiB / 13.58GiB,0.88%
1774952349,ads_orm_api,211.82%,71.15MiB / 13.58GiB,0.51%
1774952349,ads_postgres,827.92%,121.8MiB / 13.58GiB,0.88%
1774952354,ads_orm_api,210.07%,68.88MiB / 13.58GiB,0.50%
1774952354,ads_postgres,825.69%,121.5MiB / 13.58GiB,0.87%
1774952358,ads_orm_api,246.47%,69.37MiB / 13.58GiB,0.50%
1774952358,ads_postgres,774.80%,121.5MiB / 13.58GiB,0.87%
1774952363,ads_orm_api,177.79%,69.04MiB / 13.58GiB,0.50%
1774952363,ads_postgres,819.83%,122.2MiB / 13.58GiB,0.88%
1774952368,ads_orm_api,206.20%,67.77MiB / 13.58GiB,0.49%
1774952368,ads_postgres,814.96%,122.8MiB / 13.58GiB,0.88%
1774952373,ads_orm_api,193.55%,70.51MiB / 13.58GiB,0.51%
1774952373,ads_postgres,818.24%,122.1MiB / 13.58GiB,0.88%
1774952378,ads_orm_api,190.73%,77.4MiB / 13.58GiB,0.56%
1774952378,ads_postgres,848.47%,121.9MiB / 13.58GiB,0.88%
1774952383,ads_orm_api,196.27%,73.77MiB / 13.58GiB,0.53%
1774952383,ads_postgres,806.18%,122.8MiB / 13.58GiB,0.88%
1774952389,ads_orm_api,217.62%,78.4MiB / 13.58GiB,0.56%
1774952389,ads_postgres,749.77%,121.7MiB / 13.58GiB,0.88%
1774952394,ads_orm_api,201.01%,68.18MiB / 13.58GiB,0.49%
1774952394,ads_postgres,797.85%,120.7MiB / 13.58GiB,0.87%
1774952398,ads_orm_api,226.91%,68.7MiB / 13.58GiB,0.49%
1774952398,ads_postgres,809.63%,121.5MiB / 13.58GiB,0.87%
1774952403,ads_orm_api,203.44%,71.68MiB / 13.58GiB,0.52%
1774952403,ads_postgres,844.32%,122.3MiB / 13.58GiB,0.88%
1774952407,ads_orm_api,235.37%,73.25MiB / 13.58GiB,0.53%
1774952407,ads_postgres,779.78%,122MiB / 13.58GiB,0.88%
1774952412,ads_orm_api,211.53%,71.2MiB / 13.58GiB,0.51%
1774952412,ads_postgres,858.62%,123.1MiB / 13.58GiB,0.89%
1774952416,ads_orm_api,200.17%,74.53MiB / 13.58GiB,0.54%
1774952416,ads_postgres,882.06%,122.1MiB / 13.58GiB,0.88%
1774952421,ads_orm_api,187.93%,72.28MiB / 13.58GiB,0.52%
1774952421,ads_postgres,829.07%,122.4MiB / 13.58GiB,0.88%
1774952425,ads_orm_api,207.51%,68.98MiB / 13.58GiB,0.50%
1774952425,ads_postgres,829.83%,122.2MiB / 13.58GiB,0.88%
1774952430,ads_orm_api,159.10%,69.62MiB / 13.58GiB,0.50%
1774952430,ads_postgres,837.01%,122.3MiB / 13.58GiB,0.88%
1774952435,ads_orm_api,212.38%,73.41MiB / 13.58GiB,0.53%
1774952435,ads_postgres,851.02%,122.4MiB / 13.58GiB,0.88%
1774952440,ads_orm_api,201.74%,67.78MiB / 13.58GiB,0.49%
1774952440,ads_postgres,857.24%,122.7MiB / 13.58GiB,0.88%
1774952445,ads_orm_api,197.99%,71.55MiB / 13.58GiB,0.51%
1774952445,ads_postgres,843.10%,120.9MiB / 13.58GiB,0.87%
1774952450,ads_orm_api,213.46%,68.3MiB / 13.58GiB,0.49%
1774952450,ads_postgres,848.22%,121MiB / 13.58GiB,0.87%
1774952455,ads_orm_api,196.97%,74.84MiB / 13.58GiB,0.54%
1774952455,ads_postgres,839.38%,121MiB / 13.58GiB,0.87%
1774952459,ads_orm_api,214.87%,78.12MiB / 13.58GiB,0.56%
1774952460,ads_postgres,877.22%,121.3MiB / 13.58GiB,0.87%
1774952465,ads_orm_api,160.54%,71.43MiB / 13.58GiB,0.51%
1774952465,ads_postgres,840.78%,121.5MiB / 13.58GiB,0.87%
1774952470,ads_orm_api,192.27%,69.95MiB / 13.58GiB,0.50%
1774952470,ads_postgres,852.32%,122.6MiB / 13.58GiB,0.88%
1774952475,ads_orm_api,224.15%,68.85MiB / 13.58GiB,0.50%
1774952475,ads_postgres,801.20%,121.4MiB / 13.58GiB,0.87%
1774952480,ads_orm_api,214.50%,75.39MiB / 13.58GiB,0.54%
1774952480,ads_postgres,821.32%,123.3MiB / 13.58GiB,0.89%
1774952485,ads_orm_api,201.82%,69.18MiB / 13.58GiB,0.50%
1774952485,ads_postgres,836.27%,122.5MiB / 13.58GiB,0.88%
1774952490,ads_orm_api,202.19%,83.41MiB / 13.58GiB,0.60%
1774952490,ads_postgres,824.08%,122.7MiB / 13.58GiB,0.88%
1774952495,ads_orm_api,213.60%,89.58MiB / 13.58GiB,0.64%
1774952495,ads_postgres,801.09%,122.6MiB / 13.58GiB,0.88%
1774952500,ads_orm_api,211.85%,68.77MiB / 13.58GiB,0.49%
1774952500,ads_postgres,815.68%,121.8MiB / 13.58GiB,0.88%
1774952505,ads_orm_api,243.00%,68.97MiB / 13.58GiB,0.50%
1774952505,ads_postgres,767.61%,122.5MiB / 13.58GiB,0.88%
1774952510,ads_orm_api,175.98%,66.69MiB / 13.58GiB,0.48%
1774952510,ads_postgres,754.70%,122.4MiB / 13.58GiB,0.88%
1774952515,ads_orm_api,149.89%,66.42MiB / 13.58GiB,0.48%
1774952515,ads_postgres,557.39%,121.3MiB / 13.58GiB,0.87%
1774952519,ads_orm_api,106.10%,66.29MiB / 13.58GiB,0.48%
1774952519,ads_postgres,461.09%,121.9MiB / 13.58GiB,0.88%
1774952524,ads_orm_api,58.77%,66.39MiB / 13.58GiB,0.48%
1774952524,ads_postgres,249.32%,121.2MiB / 13.58GiB,0.87%
1774952528,ads_orm_api,26.62%,65.59MiB / 13.58GiB,0.47%
1774952528,ads_postgres,59.27%,121MiB / 13.58GiB,0.87%
1774952532,ads_orm_api,0.10%,64.94MiB / 13.58GiB,0.47%
1774952532,ads_postgres,2.22%,121.8MiB / 13.58GiB,0.88%
