timestamp,container,cpu_pct,mem_usage,mem_pct
1774951732,ads_sql_api,2.14%,55.65MiB / 13.58GiB,0.40%
1774951732,ads_postgres,59.13%,120.5MiB / 13.58GiB,0.87%
1774951736,ads_sql_api,7.65%,57.41MiB / 13.58GiB,0.41%
1774951736,ads_postgres,301.31%,133.7MiB / 13.58GiB,0.96%
1774951740,ads_sql_api,11.56%,32.11MiB / 13.58GiB,0.23%
1774951740,ads_postgres,665.80%,162MiB / 13.58GiB,1.17%
1774951744,ads_sql_api,17.82%,35.91MiB / 13.58GiB,0.26%
1774951744,ads_postgres,973.44%,193.3MiB / 13.58GiB,1.39%
1774951748,ads_sql_api,22.55%,41.22MiB / 13.58GiB,0.30%
1774951748,ads_postgres,1000.03%,186.9MiB / 13.58GiB,1.34%
1774951753,ads_sql_api,30.10%,54.52MiB / 13.58GiB,0.39%
1774951753,ads_postgres,1173.24%,193.9MiB / 13.58GiB,1.39%
1774951758,ads_sql_api,22.15%,54.39MiB / 13.58GiB,0.39%
1774951758,ads_postgres,1168.86%,191.2MiB / 13.58GiB,1.38%
1774951763,ads_sql_api,23.95%,55.62MiB / 13.58GiB,0.40%
1774951763,ads_postgres,1175.62%,198.1MiB / 13.58GiB,1.42%
1774951769,ads_sql_api,21.13%,56.21MiB / 13.58GiB,0.40%
1774951769,ads_postgres,1194.61%,205MiB / 13.58GiB,1.47%
1774951774,ads_sql_api,16.95%,56.88MiB / 13.58GiB,0.41%
1774951774,ads_postgres,1238.53%,193.4MiB / 13.58GiB,1.39%
1774951779,ads_sql_api,22.63%,57.69MiB / 13.58GiB,0.41%
1774951779,ads_postgres,1190.96%,191.5MiB / 13.58GiB,1.38%
1774951784,ads_sql_api,18.83%,57.5MiB / 13.58GiB,0.41%
1774951784,ads_postgres,1133.91%,202.2MiB / 13.58GiB,1.45%
1774951789,ads_sql_api,20.18%,57.04MiB / 13.58GiB,0.41%
1774951789,ads_postgres,1221.86%,194.4MiB / 13.58GiB,1.40%
1774951794,ads_sql_api,22.07%,56.41MiB / 13.58GiB,0.41%
1774951794,ads_postgres,1163.65%,190.3MiB / 13.58GiB,1.37%
1774951799,ads_sql_api,17.65%,56.79MiB / 13.58GiB,0.41%
1774951799,ads_postgres,1173.08%,197.6MiB / 13.58GiB,1.42%
1774951805,ads_sql_api,16.41%,57.58MiB / 13.58GiB,0.41%
1774951805,ads_postgres,1172.48%,196.9MiB / 13.58GiB,1.42%
1774951810,ads_sql_api,15.26%,57.12MiB / 13.58GiB,0.41%
1774951810,ads_postgres,1172.19%,193.9MiB / 13.58GiB,1.39%
1774951814,ads_sql_api,17.35%,57.15MiB / 13.58GiB,0.41%
1774951814,ads_postgres,1185.29%,200.3MiB / 13.58GiB,1.44%
1774951820,ads_sql_api,18.05%,57.75MiB / 13.58GiB,0.42%
1774951820,ads_postgres,1176.30%,202.3MiB / 13.58GiB,1.46%
1774951825,ads_sql_api,20.39%,56.45MiB / 13.58GiB,0.41%
1774951825,ads_postgres,1166.74%,194.6MiB / 13.58GiB,1.40%
1774951830,ads_sql_api,26.30%,56.88MiB / 13.58GiB,0.41%
1774951830,ads_postgres,1168.14%,189.5MiB / 13.58GiB,1.36%
1774951835,ads_sql_api,13.78%,57.04MiB / 13.58GiB,0.41%
1774951835,ads_postgres,1193.00%,198.4MiB / 13.58GiB,1.43%
1774951840,ads_sql_api,16.73%,58.15MiB / 13.58GiB,0.42%
1774951840,ads_postgres,1166.57%,195.8MiB / 13.58GiB,1.41%
1774951845,ads_sql_api,18.80%,57.42MiB / 13.58GiB,0.41%
1774951845,ads_postgres,1168.03%,203.6MiB / 13.58GiB,1.46%
1774951850,ads_sql_api,22.39%,58.28MiB / 13.58GiB,0.42%
