timestamp,container,cpu_pct,mem_usage,mem_pct
1774952565,ads_sql_api,43.00%,21.08MiB / 13.58GiB,0.15%
1774952565,ads_postgres,101.05%,171.1MiB / 13.58GiB,1.23%
1774952570,ads_sql_api,34.04%,39.05MiB / 13.58GiB,0.28%
1774952570,ads_postgres,322.59%,175.3MiB / 13.58GiB,1.26%
1774952575,ads_sql_api,34.85%,53.16MiB / 13.58GiB,0.38%
1774952575,ads_postgres,439.58%,173.9MiB / 13.58GiB,1.25%
1774952579,ads_sql_api,23.65%,54.97MiB / 13.58GiB,0.40%
1774952579,ads_postgres,272.35%,179.1MiB / 13.58GiB,1.29%
1774952583,ads_sql_api,27.60%,56.94MiB / 13.58GiB,0.41%
1774952583,ads_postgres,368.68%,175.7MiB / 13.58GiB,1.26%
1774952588,ads_sql_api,29.19%,56.07MiB / 13.58GiB,0.40%
1774952588,ads_postgres,334.82%,175MiB / 13.58GiB,1.26%
1774952593,ads_sql_api,56.94%,56.36MiB / 13.58GiB,0.41%
1774952593,ads_postgres,805.28%,179.1MiB / 13.58GiB,1.29%
1774952599,ads_sql_api,20.13%,57.57MiB / 13.58GiB,0.41%
1774952599,ads_postgres,255.25%,177.2MiB / 13.58GiB,1.27%
1774952604,ads_sql_api,20.06%,56.54MiB / 13.58GiB,0.41%
1774952604,ads_postgres,312.10%,171MiB / 13.58GiB,1.23%
1774952609,ads_sql_api,19.99%,56.98MiB / 13.58GiB,0.41%
1774952609,ads_postgres,243.71%,170.1MiB / 13.58GiB,1.22%
1774952613,ads_sql_api,28.25%,57.5MiB / 13.58GiB,0.41%
1774952613,ads_postgres,389.16%,171.7MiB / 13.58GiB,1.23%
1774952617,ads_sql_api,22.93%,56.5MiB / 13.58GiB,0.41%
1774952617,ads_postgres,321.14%,174.7MiB / 13.58GiB,1.26%
1774952621,ads_sql_api,22.08%,55.82MiB / 13.58GiB,0.40%
1774952621,ads_postgres,282.09%,170.9MiB / 13.58GiB,1.23%
1774952626,ads_sql_api,26.06%,56.54MiB / 13.58GiB,0.41%
1774952626,ads_postgres,313.12%,174MiB / 13.58GiB,1.25%
1774952631,ads_sql_api,23.45%,57.18MiB / 13.58GiB,0.41%
1774952631,ads_postgres,322.43%,178.9MiB / 13.58GiB,1.29%
1774952635,ads_sql_api,20.34%,56.81MiB / 13.58GiB,0.41%
1774952635,ads_postgres,266.87%,173.8MiB / 13.58GiB,1.25%
1774952640,ads_sql_api,22.24%,57.23MiB / 13.58GiB,0.41%
1774952640,ads_postgres,247.66%,176.7MiB / 13.58GiB,1.27%
1774952645,ads_sql_api,20.69%,56.95MiB / 13.58GiB,0.41%
1774952645,ads_postgres,317.87%,178.6MiB / 13.58GiB,1.28%
1774952650,ads_sql_api,21.40%,56.41MiB / 13.58GiB,0.41%
1774952650,ads_postgres,317.66%,170.2MiB / 13.58GiB,1.22%
1774952655,ads_sql_api,20.76%,56.7MiB / 13.58GiB,0.41%
1774952655,ads_postgres,295.54%,163.9MiB / 13.58GiB,1.18%
1774952660,ads_sql_api,26.02%,56.51MiB / 13.58GiB,0.41%
1774952660,ads_postgres,333.24%,158.7MiB / 13.58GiB,1.14%
1774952665,ads_sql_api,21.17%,57.62MiB / 13.58GiB,0.41%
1774952665,ads_postgres,261.12%,165.7MiB / 13.58GiB,1.19%
1774952669,ads_sql_api,21.29%,57.13MiB / 13.58GiB,0.41%
1774952669,ads_postgres,301.78%,167.1MiB / 13.58GiB,1.20%
1774952673,ads_sql_api,22.39%,57.32MiB / 13.58GiB,0.41%
1774952673,ads_postgres,315.20%,166.7MiB / 13.58GiB,1.20%
1774952677,ads_sql_api,19.95%,56.53MiB / 13.58GiB,0.41%
1774952677,ads_postgres,253.77%,172.4MiB / 13.58GiB,1.24%
1774952681,ads_sql_api,23.83%,56.42MiB / 13.58GiB,0.41%
1774952681,ads_postgres,309.89%,167.4MiB / 13.58GiB,1.20%
1774952685,ads_sql_api,20.76%,57.36MiB / 13.58GiB,0.41%
1774952685,ads_postgres,258.16%,164.5MiB / 13.58GiB,1.18%
1774952689,ads_sql_api,20.56%,56.85MiB / 13.58GiB,0.41%
1774952689,ads_postgres,263.41%,166.9MiB / 13.58GiB,1.20%
1774952694,ads_sql_api,33.58%,56.07MiB / 13.58GiB,0.40%
1774952694,ads_postgres,473.06%,172.3MiB / 13.58GiB,1.24%
1774952699,ads_sql_api,23.14%,56.59MiB / 13.58GiB,0.41%
1774952699,ads_postgres,295.06%,168.7MiB / 13.58GiB,1.21%
1774952704,ads_sql_api,22.45%,57.25MiB / 13.58GiB,0.41%
1774952704,ads_postgres,304.59%,184.1MiB / 13.58GiB,1.32%
1774952709,ads_sql_api,19.75%,57.39MiB / 13.58GiB,0.41%
1774952709,ads_postgres,274.81%,165.2MiB / 13.58GiB,1.19%
1774952714,ads_sql_api,25.21%,57.03MiB / 13.58GiB,0.41%
1774952714,ads_postgres,368.35%,167.5MiB / 13.58GiB,1.21%
1774952719,ads_sql_api,23.61%,55.49MiB / 13.58GiB,0.40%
1774952719,ads_postgres,294.27%,178.4MiB / 13.58GiB,1.28%
1774952723,ads_sql_api,23.55%,56.64MiB / 13.58GiB,0.41%
1774952723,ads_postgres,324.75%,170.5MiB / 13.58GiB,1.23%
1774952727,ads_sql_api,22.70%,56.5MiB / 13.58GiB,0.41%
1774952727,ads_postgres,272.88%,162.4MiB / 13.58GiB,1.17%
1774952731,ads_sql_api,22.03%,57.02MiB / 13.58GiB,0.41%
1774952731,ads_postgres,213.79%,161.1MiB / 13.58GiB,1.16%
1774952736,ads_sql_api,23.86%,56.2MiB / 13.58GiB,0.40%
1774952736,ads_postgres,287.09%,161.2MiB / 13.58GiB,1.16%
1774952739,ads_sql_api,22.82%,57.11MiB / 13.58GiB,0.41%
1774952739,ads_postgres,311.64%,163.4MiB / 13.58GiB,1.18%
1774952743,ads_sql_api,24.02%,56.52MiB / 13.58GiB,0.41%
1774952743,ads_postgres,353.04%,162.6MiB / 13.58GiB,1.17%
1774952747,ads_sql_api,23.61%,56.7MiB / 13.58GiB,0.41%
1774952747,ads_postgres,308.90%,167.4MiB / 13.58GiB,1.20%
1774952751,ads_sql_api,22.54%,57.63MiB / 13.58GiB,0.41%
1774952751,ads_postgres,321.57%,169MiB / 13.58GiB,1.22%
1774952755,ads_sql_api,24.60%,56.67MiB / 13.58GiB,0.41%
1774952756,ads_postgres,387.00%,171.4MiB / 13.58GiB,1.23%
1774952761,ads_sql_api,53.68%,56.1MiB / 13.58GiB,0.40%
1774952761,ads_postgres,493.89%,169.2MiB / 13.58GiB,1.22%
1774952765,ads_sql_api,35.33%,56.55MiB / 13.58GiB,0.41%
1774952765,ads_postgres,478.68%,171.6MiB / 13.58GiB,1.23%
1774952770,ads_sql_api,23.65%,57.39MiB / 13.58GiB,0.41%
1774952770,ads_postgres,314.29%,170.7MiB / 13.58GiB,1.23%
1774952774,ads_sql_api,22.30%,55.97MiB / 13.58GiB,0.40%
1774952774,ads_postgres,312.60%,181.6MiB / 13.58GiB,1.31%
1774952778,ads_sql_api,22.73%,56.74MiB / 13.58GiB,0.41%
1774952778,ads_postgres,280.92%,169MiB / 13.58GiB,1.22%
1774952782,ads_sql_api,25.41%,58.12MiB / 13.58GiB,0.42%
1774952782,ads_postgres,309.92%,162.8MiB / 13.58GiB,1.17%
1774952786,ads_sql_api,21.92%,57.99MiB / 13.58GiB,0.42%
1774952786,ads_postgres,258.80%,165.3MiB / 13.58GiB,1.19%
1774952790,ads_sql_api,20.50%,56.82MiB / 13.58GiB,0.41%
1774952790,ads_postgres,264.30%,156.2MiB / 13.58GiB,1.12%
1774952794,ads_sql_api,21.48%,57.05MiB / 13.58GiB,0.41%
1774952794,ads_postgres,282.71%,158.1MiB / 13.58GiB,1.14%
1774952798,ads_sql_api,20.96%,57.22MiB / 13.58GiB,0.41%
1774952798,ads_postgres,254.04%,157.3MiB / 13.58GiB,1.13%
1774952802,ads_sql_api,22.74%,56.55MiB / 13.58GiB,0.41%
1774952802,ads_postgres,320.69%,153.2MiB / 13.58GiB,1.10%
1774952806,ads_sql_api,27.36%,56.39MiB / 13.58GiB,0.41%
1774952806,ads_postgres,322.18%,159.1MiB / 13.58GiB,1.14%
1774952810,ads_sql_api,23.20%,56.69MiB / 13.58GiB,0.41%
1774952810,ads_postgres,235.58%,156.1MiB / 13.58GiB,1.12%
1774952814,ads_sql_api,23.90%,56.71MiB / 13.58GiB,0.41%
1774952814,ads_postgres,305.74%,160.9MiB / 13.58GiB,1.16%
1774952818,ads_sql_api,19.50%,55.83MiB / 13.58GiB,0.40%
1774952818,ads_postgres,213.80%,159.5MiB / 13.58GiB,1.15%
1774952822,ads_sql_api,29.48%,56.49MiB / 13.58GiB,0.41%
1774952822,ads_postgres,440.17%,156.5MiB / 13.58GiB,1.13%
1774952826,ads_sql_api,25.54%,55.44MiB / 13.58GiB,0.40%
1774952826,ads_postgres,279.74%,164.1MiB / 13.58GiB,1.18%
1774952830,ads_sql_api,22.36%,57.47MiB / 13.58GiB,0.41%
1774952830,ads_postgres,278.24%,157.1MiB / 13.58GiB,1.13%
1774952835,ads_sql_api,31.01%,56.66MiB / 13.58GiB,0.41%
