timestamp,container,cpu_pct,mem_usage,mem_pct
1774953660,ads_orm_api,4.45%,63.1MiB / 13.58GiB,0.45%
1774953660,ads_postgres,3.11%,168.1MiB / 13.58GiB,1.21%
1774953665,ads_orm_api,20.05%,40.15MiB / 13.58GiB,0.29%
1774953665,ads_postgres,15.66%,155.9MiB / 13.58GiB,1.12%
1774953669,ads_orm_api,36.63%,51.09MiB / 13.58GiB,0.37%
1774953670,ads_postgres,29.91%,122.4MiB / 13.58GiB,0.88%
1774953674,ads_orm_api,46.67%,53.4MiB / 13.58GiB,0.38%
1774953674,ads_postgres,26.12%,120.5MiB / 13.58GiB,0.87%
1774953678,ads_orm_api,62.31%,60.55MiB / 13.58GiB,0.44%
1774953678,ads_postgres,41.15%,120.7MiB / 13.58GiB,0.87%
1774953682,ads_orm_api,78.21%,63.01MiB / 13.58GiB,0.45%
1774953682,ads_postgres,52.31%,120.4MiB / 13.58GiB,0.87%
1774953686,ads_orm_api,83.21%,61.86MiB / 13.58GiB,0.44%
1774953686,ads_postgres,58.34%,120.3MiB / 13.58GiB,0.87%
1774953690,ads_orm_api,131.04%,63.01MiB / 13.58GiB,0.45%
1774953690,ads_postgres,84.23%,119.8MiB / 13.58GiB,0.86%
1774953694,ads_orm_api,156.01%,62.81MiB / 13.58GiB,0.45%
1774953694,ads_postgres,80.97%,119.2MiB / 13.58GiB,0.86%
1774953698,ads_orm_api,162.16%,63.04MiB / 13.58GiB,0.45%
1774953698,ads_postgres,98.89%,119.5MiB / 13.58GiB,0.86%
1774953702,ads_orm_api,189.77%,63.41MiB / 13.58GiB,0.46%
1774953702,ads_postgres,109.26%,121MiB / 13.58GiB,0.87%
1774953706,ads_orm_api,222.84%,63.91MiB / 13.58GiB,0.46%
1774953706,ads_postgres,146.28%,120.4MiB / 13.58GiB,0.87%
1774953710,ads_orm_api,241.33%,63.29MiB / 13.58GiB,0.46%
1774953710,ads_postgres,133.35%,120.3MiB / 13.58GiB,0.87%
1774953714,ads_orm_api,279.19%,64.06MiB / 13.58GiB,0.46%
1774953714,ads_postgres,162.80%,119.9MiB / 13.58GiB,0.86%
1774953718,ads_orm_api,307.16%,66.05MiB / 13.58GiB,0.48%
1774953718,ads_postgres,159.25%,121.4MiB / 13.58GiB,0.87%
1774953722,ads_orm_api,310.25%,63.99MiB / 13.58GiB,0.46%
1774953722,ads_postgres,169.17%,120.6MiB / 13.58GiB,0.87%
1774953726,ads_orm_api,335.42%,68.31MiB / 13.58GiB,0.49%
1774953726,ads_postgres,179.79%,121.1MiB / 13.58GiB,0.87%
1774953730,ads_orm_api,355.31%,67.49MiB / 13.58GiB,0.49%
1774953730,ads_postgres,168.41%,120.3MiB / 13.58GiB,0.87%
1774953734,ads_orm_api,361.37%,67.78MiB / 13.58GiB,0.49%
1774953734,ads_postgres,214.73%,120.8MiB / 13.58GiB,0.87%
1774953738,ads_orm_api,376.72%,75.78MiB / 13.58GiB,0.55%
1774953738,ads_postgres,197.92%,121.2MiB / 13.58GiB,0.87%
1774953742,ads_orm_api,390.69%,74.36MiB / 13.58GiB,0.53%
1774953742,ads_postgres,201.09%,121.7MiB / 13.58GiB,0.88%
1774953746,ads_orm_api,382.45%,73.49MiB / 13.58GiB,0.53%
1774953746,ads_postgres,220.39%,121.1MiB / 13.58GiB,0.87%
1774953750,ads_orm_api,386.29%,71.71MiB / 13.58GiB,0.52%
1774953750,ads_postgres,214.37%,121.3MiB / 13.58GiB,0.87%
1774953754,ads_orm_api,396.78%,71.62MiB / 13.58GiB,0.52%
1774953754,ads_postgres,223.49%,121.2MiB / 13.58GiB,0.87%
1774953758,ads_orm_api,399.16%,71.98MiB / 13.58GiB,0.52%
1774953758,ads_postgres,236.02%,121.6MiB / 13.58GiB,0.87%
1774953762,ads_orm_api,422.02%,81.19MiB / 13.58GiB,0.58%
