timestamp,container,cpu_pct,mem_usage,mem_pct
1774953220,ads_sql_api,1.05%,57.14MiB / 13.58GiB,0.41%
1774953220,ads_postgres,28.90%,123.9MiB / 13.58GiB,0.89%
1774953224,ads_sql_api,5.49%,30.11MiB / 13.58GiB,0.22%
1774953224,ads_postgres,187.58%,134.2MiB / 13.58GiB,0.97%
1774953228,ads_sql_api,8.16%,32.4MiB / 13.58GiB,0.23%
1774953228,ads_postgres,310.77%,145.3MiB / 13.58GiB,1.05%
1774953232,ads_sql_api,13.23%,35.54MiB / 13.58GiB,0.26%
1774953232,ads_postgres,509.99%,149.2MiB / 13.58GiB,1.07%
1774953236,ads_sql_api,13.89%,41.21MiB / 13.58GiB,0.30%
1774953236,ads_postgres,868.07%,170.5MiB / 13.58GiB,1.23%
1774953240,ads_sql_api,21.31%,38.02MiB / 13.58GiB,0.27%
1774953240,ads_postgres,1117.88%,181.1MiB / 13.58GiB,1.30%
1774953244,ads_sql_api,17.63%,51.01MiB / 13.58GiB,0.37%
1774953245,ads_postgres,1174.42%,190.5MiB / 13.58GiB,1.37%
1774953249,ads_sql_api,24.37%,55.04MiB / 13.58GiB,0.40%
1774953249,ads_postgres,1147.92%,197.1MiB / 13.58GiB,1.42%
1774953253,ads_sql_api,17.18%,55.13MiB / 13.58GiB,0.40%
1774953253,ads_postgres,1173.01%,201.8MiB / 13.58GiB,1.45%
1774953257,ads_sql_api,17.43%,55.71MiB / 13.58GiB,0.40%
1774953257,ads_postgres,1183.75%,202.8MiB / 13.58GiB,1.46%
1774953262,ads_sql_api,18.89%,55.28MiB / 13.58GiB,0.40%
1774953262,ads_postgres,1177.21%,207.1MiB / 13.58GiB,1.49%
1774953267,ads_sql_api,15.50%,57.2MiB / 13.58GiB,0.41%
1774953267,ads_postgres,1175.70%,204.7MiB / 13.58GiB,1.47%
1774953272,ads_sql_api,28.70%,55.89MiB / 13.58GiB,0.40%
1774953272,ads_postgres,1165.63%,200.3MiB / 13.58GiB,1.44%
1774953277,ads_sql_api,17.49%,56.43MiB / 13.58GiB,0.41%
1774953277,ads_postgres,1186.67%,208.6MiB / 13.58GiB,1.50%
1774953282,ads_sql_api,20.87%,56.4MiB / 13.58GiB,0.41%
1774953282,ads_postgres,1173.56%,203.6MiB / 13.58GiB,1.46%
1774953287,ads_sql_api,25.80%,57.25MiB / 13.58GiB,0.41%
1774953287,ads_postgres,1267.35%,204.9MiB / 13.58GiB,1.47%
1774953292,ads_sql_api,19.56%,57.36MiB / 13.58GiB,0.41%
1774953292,ads_postgres,1185.02%,202.6MiB / 13.58GiB,1.46%
1774953297,ads_sql_api,28.26%,57.65MiB / 13.58GiB,0.41%
1774953297,ads_postgres,1281.47%,208.9MiB / 13.58GiB,1.50%
1774953302,ads_sql_api,17.68%,57.66MiB / 13.58GiB,0.41%
1774953302,ads_postgres,1161.04%,205.2MiB / 13.58GiB,1.48%
1774953307,ads_sql_api,15.91%,57.89MiB / 13.58GiB,0.42%
1774953307,ads_postgres,1186.75%,202.8MiB / 13.58GiB,1.46%
1774953312,ads_sql_api,35.83%,57.77MiB / 13.58GiB,0.42%
1774953312,ads_postgres,1229.71%,207.3MiB / 13.58GiB,1.49%
1774953317,ads_sql_api,20.53%,58.16MiB / 13.58GiB,0.42%
1774953317,ads_postgres,1167.37%,205.4MiB / 13.58GiB,1.48%
1774953322,ads_sql_api,17.76%,57.06MiB / 13.58GiB,0.41%
1774953322,ads_postgres,1215.94%,201.1MiB / 13.58GiB,1.45%
1774953326,ads_sql_api,37.18%,57.5MiB / 13.58GiB,0.41%
1774953326,ads_postgres,1234.37%,200MiB / 13.58GiB,1.44%
1774953331,ads_sql_api,14.85%,58.57MiB / 13.58GiB,0.42%
1774953331,ads_postgres,1224.21%,199.5MiB / 13.58GiB,1.43%
1774953336,ads_sql_api,23.52%,58.41MiB / 13.58GiB,0.42%
1774953336,ads_postgres,1281.56%,208.1MiB / 13.58GiB,1.50%
1774953341,ads_sql_api,21.12%,58.22MiB / 13.58GiB,0.42%
1774953341,ads_postgres,1279.36%,199.8MiB / 13.58GiB,1.44%
1774953346,ads_sql_api,16.95%,58.48MiB / 13.58GiB,0.42%
1774953346,ads_postgres,1221.50%,200.7MiB / 13.58GiB,1.44%
1774953351,ads_sql_api,23.39%,57.1MiB / 13.58GiB,0.41%
1774953351,ads_postgres,1256.84%,200.3MiB / 13.58GiB,1.44%
1774953356,ads_sql_api,13.30%,58.31MiB / 13.58GiB,0.42%
1774953356,ads_postgres,1301.93%,210.8MiB / 13.58GiB,1.52%
1774953361,ads_sql_api,22.35%,58.43MiB / 13.58GiB,0.42%
1774953361,ads_postgres,1204.45%,206.5MiB / 13.58GiB,1.49%
1774953366,ads_sql_api,20.25%,58.01MiB / 13.58GiB,0.42%
1774953366,ads_postgres,1242.89%,211.4MiB / 13.58GiB,1.52%
1774953371,ads_sql_api,33.07%,58.01MiB / 13.58GiB,0.42%
1774953371,ads_postgres,1219.41%,207.3MiB / 13.58GiB,1.49%
1774953376,ads_sql_api,13.90%,58.21MiB / 13.58GiB,0.42%
1774953376,ads_postgres,1249.73%,208.8MiB / 13.58GiB,1.50%
1774953381,ads_sql_api,21.03%,58.62MiB / 13.58GiB,0.42%
1774953381,ads_postgres,1296.98%,206.4MiB / 13.58GiB,1.48%
1774953386,ads_sql_api,20.94%,59.5MiB / 13.58GiB,0.43%
1774953386,ads_postgres,1214.00%,200.8MiB / 13.58GiB,1.44%
1774953391,ads_sql_api,20.34%,60.06MiB / 13.58GiB,0.43%
1774953391,ads_postgres,1162.72%,212.2MiB / 13.58GiB,1.53%
1774953396,ads_sql_api,17.40%,60.28MiB / 13.58GiB,0.43%
1774953396,ads_postgres,1218.31%,208.9MiB / 13.58GiB,1.50%
1774953401,ads_sql_api,21.64%,59.8MiB / 13.58GiB,0.43%
1774953401,ads_postgres,1214.96%,200MiB / 13.58GiB,1.44%
1774953406,ads_sql_api,21.42%,60.36MiB / 13.58GiB,0.43%
1774953406,ads_postgres,1195.96%,203.5MiB / 13.58GiB,1.46%
1774953411,ads_sql_api,20.25%,60.2MiB / 13.58GiB,0.43%
1774953411,ads_postgres,1165.87%,207.4MiB / 13.58GiB,1.49%
1774953416,ads_sql_api,15.02%,59.9MiB / 13.58GiB,0.43%
1774953416,ads_postgres,1204.16%,206.3MiB / 13.58GiB,1.48%
1774953421,ads_sql_api,25.13%,60.29MiB / 13.58GiB,0.43%
1774953421,ads_postgres,1287.26%,205.4MiB / 13.58GiB,1.48%
1774953426,ads_sql_api,15.98%,60.43MiB / 13.58GiB,0.43%
1774953426,ads_postgres,1213.68%,208.4MiB / 13.58GiB,1.50%
1774953431,ads_sql_api,21.54%,60.53MiB / 13.58GiB,0.44%
1774953431,ads_postgres,1208.90%,196.2MiB / 13.58GiB,1.41%
1774953436,ads_sql_api,22.11%,61MiB / 13.58GiB,0.44%
1774953436,ads_postgres,1162.66%,203.9MiB / 13.58GiB,1.47%
1774953441,ads_sql_api,21.68%,60.98MiB / 13.58GiB,0.44%
1774953441,ads_postgres,1211.27%,206.5MiB / 13.58GiB,1.49%
1774953446,ads_sql_api,14.49%,61.29MiB / 13.58GiB,0.44%
1774953446,ads_postgres,1141.67%,206.3MiB / 13.58GiB,1.48%
1774953451,ads_sql_api,14.77%,61.75MiB / 13.58GiB,0.44%
1774953451,ads_postgres,1155.96%,207.2MiB / 13.58GiB,1.49%
1774953456,ads_sql_api,23.96%,61.88MiB / 13.58GiB,0.45%
1774953456,ads_postgres,1164.04%,202MiB / 13.58GiB,1.45%
1774953461,ads_sql_api,27.36%,61.64MiB / 13.58GiB,0.44%
1774953461,ads_postgres,1136.69%,204.8MiB / 13.58GiB,1.47%
1774953466,ads_sql_api,24.17%,63.75MiB / 13.58GiB,0.46%
1774953466,ads_postgres,1174.50%,204.9MiB / 13.58GiB,1.47%
1774953471,ads_sql_api,29.79%,62.96MiB / 13.58GiB,0.45%
1774953471,ads_postgres,1170.61%,206.1MiB / 13.58GiB,1.48%
1774953476,ads_sql_api,18.42%,62.86MiB / 13.58GiB,0.45%
1774953476,ads_postgres,1173.24%,205.8MiB / 13.58GiB,1.48%
1774953481,ads_sql_api,16.51%,63.46MiB / 13.58GiB,0.46%
1774953481,ads_postgres,1129.40%,205.7MiB / 13.58GiB,1.48%
1774953486,ads_sql_api,24.40%,62.41MiB / 13.58GiB,0.45%
1774953486,ads_postgres,1196.74%,205.6MiB / 13.58GiB,1.48%
1774953491,ads_sql_api,21.57%,62.87MiB / 13.58GiB,0.45%
1774953491,ads_postgres,1206.21%,206.1MiB / 13.58GiB,1.48%
1774953496,ads_sql_api,20.60%,63.01MiB / 13.58GiB,0.45%
1774953496,ads_postgres,1150.43%,200.5MiB / 13.58GiB,1.44%
1774953501,ads_sql_api,21.46%,63.02MiB / 13.58GiB,0.45%
1774953501,ads_postgres,1191.90%,209.1MiB / 13.58GiB,1.50%
1774953506,ads_sql_api,25.07%,64.05MiB / 13.58GiB,0.46%
1774953506,ads_postgres,1167.75%,205.8MiB / 13.58GiB,1.48%
1774953511,ads_sql_api,17.25%,63.89MiB / 13.58GiB,0.46%
1774953511,ads_postgres,1163.51%,204.7MiB / 13.58GiB,1.47%
1774953516,ads_sql_api,14.57%,63.85MiB / 13.58GiB,0.46%
1774953516,ads_postgres,1171.77%,212.6MiB / 13.58GiB,1.53%
1774953521,ads_sql_api,15.35%,64.68MiB / 13.58GiB,0.47%
1774953521,ads_postgres,1170.23%,204.1MiB / 13.58GiB,1.47%
